Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health ,NHS Digital ,2/28/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5802192296,"344,208.18",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191192,"169,094.88",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191193,"44,976.83",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191195,"38,767.10",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191196,"80,577.60",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191197,"80,577.60",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191200,"281,151.60",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191201,"523,690.80",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/19/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5803191202,"79,416.00",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,8/28/2018,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5808181525,"830,324.64",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,9/20/2018,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5809180929,"590,759.88",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,10/11/2018,Workpackage,Product Development,IBM UK LTD,5810180433,"47,023.84",Workpackages
Department of Health,NHS Digital ,10/25/2018,Workpackage,Product Development,IBM UK LTD,5810181293,"126,151.96",Workpackages
Department of Health,NHS Digital ,11/8/2018,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5811180346,"3,496,708.08",Fully Managed and Other Outsourced IT Services
Department Of Health ,NHS Digital ,11/30/2018,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5811182148,"96,785.10",Workpackages
Department Of Health ,NHS Digital ,12/6/2018,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5812180244,"2,544,074.40",Fully Managed and Other Outsourced IT Services
Department Of Health ,NHS Digital ,12/11/2018,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5812180532,"983,292.42",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,2/4/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5902190007,"-75,865.10",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,2/4/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5902190008,"-44,400.00",Fully Managed and Other Outsourced IT Services
Department Of Health ,NHS Digital ,12/6/2018,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5912180024CR,"-2,544,074.40",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,3/30/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,7934,"100,829.90",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,5/23/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,7949,"160,344.74",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,6/13/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,7956,"74,896.06",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,7/16/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,7980,"273,325.09",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,7/25/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,7993,"46,764.20",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,9/10/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,8008,"77,804.70",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,11/12/2018,Fixtures & Fittings,Corporate Services,ILLINGWORTH & GREGORY LTD,8059,"49,666.43",Additions - Fixtures & Fittings
Department of Health,NHS Digital ,8/16/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40219991,"120,000.00",Workpackages
Department of Health,NHS Digital ,9/3/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220020,"144,000.00",Workpackages
Department of Health,NHS Digital ,10/5/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220132,"144,000.00",Workpackages
Department of Health,NHS Digital ,10/5/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220133,"144,000.00",Workpackages
Department of Health,NHS Digital ,10/9/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220149,"-144,000.00",Workpackages
Department of Health,NHS Digital ,10/11/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220161,"-120,000.00",Workpackages
Department of Health ,NHS Digital ,12/11/2018,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220378,"399,657.61",Workpackages
Department of Health ,NHS Digital ,2/19/2019,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40220616,"376,515.19",Workpackages
Department of Health ,NHS Digital ,3/18/2019,Workpackage,Product Development,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40221151,"255,827.20",Workpackages
Department of Health,NHS Digital ,3/28/2018,Managed Service,Product Development,IN PRACTICE SYSTEMS LTD,439034,"31,196.14",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,3/22/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1577,"25,882.50",Workpackages
Department of Health,NHS Digital ,3/22/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1578,"54,220.00",Workpackages
Department of Health,NHS Digital ,3/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1593,"141,096.00",Workpackages
Department of Health,NHS Digital ,3/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1594,"131,797.50",Workpackages
Department of Health,NHS Digital ,3/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1595,"38,377.50",Workpackages
Department of Health,NHS Digital ,3/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1613,"29,342.11",Workpackages
Department of Health,NHS Digital ,4/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1648,"131,610.00",Workpackages
Department of Health,NHS Digital ,4/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1649,"151,881.01",Workpackages
Department of Health,NHS Digital ,4/30/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1660,"28,224.00",Workpackages
Department of Health,NHS Digital ,4/30/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1661,"78,320.00",Workpackages
Department of Health,NHS Digital ,4/30/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1663,"38,566.50",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,"Strategy,Policy and Governance",INFINITY WORKS CONSULTING,1707,"25,767.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1708,"32,634.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1709,"79,410.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1710,"40,698.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1720,"136,080.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1721,"115,395.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1753,"115,395.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1766,"163,296.00",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1812,"46,410.00",Workpackages
Department of Health,NHS Digital ,7/18/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1813,"159,645.00",Workpackages
Department of Health,NHS Digital ,8/6/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1814,"29,724.59",Workpackages
Department of Health,NHS Digital ,6/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1817,"171,861.00",Workpackages
Department of Health,NHS Digital ,6/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1818,"35,274.00",Workpackages
Department of Health,NHS Digital ,6/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1819,"41,055.00",Workpackages
Department of Health,NHS Digital ,6/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1820,"101,901.00",Workpackages
Department of Health,NHS Digital ,8/1/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1877,"55,503.00",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1878,"26,075.38",Workpackages
Department of Health,NHS Digital ,8/16/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1879,"95,814.00",Workpackages
Department of Health,NHS Digital ,8/1/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1880,"45,339.00",Workpackages
Department of Health,NHS Digital ,8/20/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1881,"171,411.00",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1884,"29,652.00",Workpackages
Department of Health,NHS Digital ,6/29/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,1885,"60,407.50",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1921,"29,805.00",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1934,"91,068.00",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1936,"55,335.00",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1939,"183,147.00",Workpackages
Department of Health,NHS Digital ,8/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,1940,"98,016.00",Workpackages
Department of Health,NHS Digital ,9/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2001,"53,550.00",Workpackages
Department of Health,NHS Digital ,9/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2002,"36,708.00",Workpackages
Department of Health,NHS Digital ,9/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2003,"163,461.00",Workpackages
Department of Health,NHS Digital ,9/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2004,"64,326.00",Workpackages
Department of Health,NHS Digital ,9/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2006,"85,395.00",Workpackages
Department of Health,NHS Digital ,10/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2052,"91,008.00",Workpackages
Department of Health,NHS Digital ,10/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2053,"65,331.00",Workpackages
Department Of Health ,NHS Digital ,10/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2054,"49,527.00",Workpackages
Department of Health,NHS Digital ,10/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2055,"212,193.00",Workpackages
Department of Health,NHS Digital ,10/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2056,"76,044.00",Workpackages
Department Of Health ,NHS Digital ,11/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2121,"81,168.00",Workpackages
Department Of Health ,NHS Digital ,11/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2122,"189,957.00",Workpackages
Department of Health ,NHS Digital ,11/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2123,"83,481.00",Workpackages
Department Of Health ,NHS Digital ,11/30/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2125,"83,511.00",Workpackages
Department Of Health ,NHS Digital ,12/1/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,2182,"57,477.00",Workpackages
Department of Health ,NHS Digital ,12/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2197,"76,089.00",Workpackages
Department of Health ,NHS Digital ,12/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2223,"50,136.00",Workpackages
Department of Health ,NHS Digital ,12/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2224,"50,775.00",Workpackages
Department of Health ,NHS Digital ,12/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2225,"101,436.00",Workpackages
Department of Health ,NHS Digital ,12/31/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2226,"93,105.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2279,"138,735.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2280,"169,404.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2281,"75,735.00",Workpackages
Department of Health ,NHS Digital ,2/1/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2290,"99,948.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2291,"85,242.00",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2389,"99,105.00",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2390,"93,630.00",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2391,"91,395.00",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2392,"150,903.00",Workpackages
Department of Health ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,2393A,"136,425.00",Workpackages
Department of Health,NHS Digital ,6/15/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,CN1174,"-115,395.00",Workpackages
Department of Health,NHS Digital ,6/19/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,CN1175,"-136,080.00",Workpackages
Department of Health,NHS Digital ,8/8/2018,Workpackage,Product Development,INFINITY WORKS CONSULTING,CN1177,"-79,822.50",Workpackages
Department of Health,NHS Digital ,9/12/2018,Workpackage,Platforms and Infrastructure,INFINITY WORKS CONSULTING,CN1178,"-45,534.00",Workpackages
Department of Health,NHS Digital ,8/30/2018,Building Maintenance,Corporate Services,INGERSOLL-RAND UK LTD,60006576,"26,724.00",Building Maintenance
Department of Health,NHS Digital ,4/26/2018,Computer Maintenance,"Data, Insights and Statistics",INOVEM LTD,DINV2602,"43,800.00",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,4/10/2018,Computer Maintenance,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3836177,"128,778.12",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,4/11/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3837984,"267,195.73",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,5/9/2018,Computer Maintenance,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3877631,"480,412.91",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,5/15/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3885380,"270,760.09",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,5/23/2018,Computer Maintenance,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3899322,"-187,401.29",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,5/25/2018,Computer Maintenance,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3902331,"99,668.16",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,5/29/2018,Computer Maintenance,"Data, Insights and Statistics",INSIGHT DIRECT (UK) LTD,3904614,"651,746.99",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,6/13/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3925636,"277,940.55",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,7/11/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,3965586,"283,763.74",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,7/27/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4011169,"284,871.08",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,7/31/2018,Computer Maintenance,Live Services (incl. Cyber Security),INSIGHT DIRECT (UK) LTD,4016935,"63,016.80",Computer Hardware / Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,9/13/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4050945,"285,625.73",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,10/10/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4089610,"289,026.14",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,10/24/2018,Software,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4109902,"62,283.94",Software / License / Maint / PEN Test / Continuity
Department of Health,NHS Digital ,11/13/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4136483,"291,204.65",Fully Managed and Other Outsourced IT Services
Department of Health,NHS Digital ,11/16/2018,Software,Product Development,INSIGHT DIRECT (UK) LTD,4142120,"104,661.48",Software / License / Maint / PEN Test / Continuity
Department Of Health ,NHS Digital ,12/12/2018,Software,"Data, Insights and Statistics",INSIGHT DIRECT (UK) LTD,4176842,"577,238.87",Software / License / Maint / PEN Test / Continuity
Department of Health ,NHS Digital ,1/15/2019,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4209818,"295,532.62",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,1/23/2019,Managed Service,"Data, Insights and Statistics",INSIGHT DIRECT (UK) LTD,4222957,"27,780.00",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,2/13/2019,Software,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4253607,"34,855.96",Software / License / Maint / PEN Test / Continuity
Department of Health ,NHS Digital ,2/14/2019,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4255090,"300,603.77",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,3/13/2019,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4292743,"319,904.86",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,12/14/2018,Managed Service,Platforms and Infrastructure,INSIGHT DIRECT (UK) LTD,4180131A,"295,629.28",Fully Managed and Other Outsourced IT Services
Department of Health ,NHS Digital ,11/9/2018,Subscription,"Data, Insights and Statistics",INTERNATIONAL HEALTH TERMINOLOGY STANDARDS DEVELOPMENT ORGANISATION,64,"615,256.34","Books, Journals & Subscriptions"
Department Of Health ,NHS Digital ,11/30/2018,Building Maintenance,Corporate Services,JX3 SUPPORT SERVICES LTD,6643,"61,011.19",Building Maintenance
Department of Health ,NHS Digital ,1/21/2019,Building Maintenance,Corporate Services,JX3 SUPPORT SERVICES LTD,6706,"44,946.80",Building Maintenance
Department of Health,NHS Digital ,2/28/2018,Workpackage,Product Development,KAINOS LTD,INV013510,"89,287.20",Workpackages
Department of Health,NHS Digital ,2/1/2018,Workpackage,Product Development,KAINOS LTD,INV013511,"209,295.30",Workpackages
Department of Health,NHS Digital ,3/1/2018,Workpackage,Product Development,KAINOS LTD,INV013626,"42,110.00",Workpackages
Department of Health,NHS Digital ,3/15/2018,Workpackage,Product Development,KAINOS LTD,INV013686,"180,825.00",Workpackages
Department of Health,NHS Digital ,5/14/2018,Workpackage,Product Development,KAINOS LTD,INV014126,"50,130.00",Workpackages
Department of Health,NHS Digital ,5/18/2018,Workpackage,Product Development,KAINOS LTD,INV014143,"238,214.99",Workpackages
Department of Health,NHS Digital ,5/22/2018,Workpackage,Product Development,KAINOS LTD,INV014162,"390,565.25",Workpackages
Department of Health,NHS Digital ,5/22/2018,Workpackage,Product Development,KAINOS LTD,INV014179,"67,575.80",Workpackages
Department of Health,NHS Digital ,5/30/2018,Workpackage,Product Development,KAINOS LTD,INV014205,"73,464.00",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Product Development,KAINOS LTD,INV014206,"235,891.50",Workpackages
Department of Health,NHS Digital ,5/31/2018,Workpackage,Product Development,KAINOS LTD,INV014207,"235,609.25",Workpackages
Department of Health,NHS Digital ,7/17/2018,Workpackage,Product Development,KAINOS LTD,INV014694,"67,625.65",Workpackages
Department of Health,NHS Digital ,7/27/2018,Workpackage,Product Development,KAINOS LTD,INV014798,"324,302.74",Workpackages
Department of Health,NHS Digital ,7/19/2018,Workpackage,Product Development,KAINOS LTD,INV014799,"275,205.28",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Product Development,KAINOS LTD,INV014800,"277,833.20",Workpackages
Department of Health,NHS Digital ,8/14/2018,Workpackage,Product Development,KAINOS LTD,INV014801,"291,949.07",Workpackages
Department of Health,NHS Digital ,8/2/2018,Workpackage,Product Development,KAINOS LTD,INV014887,"59,804.16",Workpackages
Department of Health,NHS Digital ,7/31/2018,Workpackage,Product Development,KAINOS LTD,INV014927,"53,784.00",Workpackages
Department of Health,NHS Digital ,8/10/2018,Workpackage,Product Development,KAINOS LTD,INV014973,"26,199.00",Workpackages
Department of Health,NHS Digital ,9/13/2018,Workpackage,Product Development,KAINOS LTD,INV015313,"116,396.67",Workpackages
Department of Health,NHS Digital ,9/13/2018,Workpackage,Product Development,KAINOS LTD,INV015314,"454,418.80",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Product Development,KAINOS LTD,INV015328,"32,328.00",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Product Development,KAINOS LTD,INV015329,"34,080.00",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Product Development,KAINOS LTD,INV015331,"289,617.87",Workpackages
Department of Health,NHS Digital ,9/19/2018,Workpackage,Product Development,KAINOS LTD,INV015334,"137,182.70",Workpackages
Department of Health,NHS Digital ,10/5/2018,Workpackage,Product Development,KAINOS LTD,INV015541,"33,264.00",Workpackages
Department of Health ,NHS Digital ,10/5/2018,Workpackage,Product Development,KAINOS LTD,INV015542,"33,480.00",Workpackages
Department of Health ,NHS Digital ,10/8/2018,Workpackage,Product Development,KAINOS LTD,INV015553,"25,304.40",Workpackages
Department of Health,NHS Digital ,10/18/2018,Workpackage,Product Development,KAINOS LTD,INV015623,"41,887.20",Workpackages
Department Of Health ,NHS Digital ,11/7/2018,Workpackage,Product Development,KAINOS LTD,INV015780,"151,199.56",Workpackages
Department Of Health ,NHS Digital ,11/6/2018,Workpackage,Product Development,KAINOS LTD,INV015781,"303,971.84",Workpackages
Department of Health,NHS Digital ,11/8/2018,Workpackage,Product Development,KAINOS LTD,INV015810,"330,063.36",Workpackages
Department of Health,NHS Digital ,11/12/2018,Workpackage,Product Development,KAINOS LTD,INV015826,"268,110.37",Workpackages
Department of Health,NHS Digital ,11/13/2018,Workpackage,Product Development,KAINOS LTD,INV015838,"270,397.23",Workpackages
Department of Health,NHS Digital ,11/13/2018,Workpackage,Product Development,KAINOS LTD,INV015840,"28,377.60",Workpackages
Department of Health,NHS Digital ,11/16/2018,Workpackage,Product Development,KAINOS LTD,INV015876,"57,720.00",Workpackages
Department of Health,NHS Digital ,11/16/2018,Workpackage,Product Development,KAINOS LTD,INV015879,"25,245.00",Workpackages
Department Of Health ,NHS Digital ,12/11/2018,Workpackage,Product Development,KAINOS LTD,INV016111,"28,116.00",Workpackages
Department Of Health ,NHS Digital ,12/11/2018,Workpackage,Product Development,KAINOS LTD,INV016112,"29,394.00",Workpackages
Department of Health ,NHS Digital ,12/17/2018,Workpackage,Product Development,KAINOS LTD,INV016179,"35,112.00",Workpackages
Department of Health ,NHS Digital ,12/17/2018,Workpackage,Product Development,KAINOS LTD,INV016180,"34,080.00",Workpackages
Department of Health ,NHS Digital ,12/11/2018,Workpackage,Product Development,KAINOS LTD,INV016181,"74,922.40",Workpackages
Department of Health ,NHS Digital ,12/31/2018,Workpackage,Product Development,KAINOS LTD,INV016293,"736,534.30",Workpackages
Department of Health ,NHS Digital ,1/16/2019,Workpackage,Product Development,KAINOS LTD,INV016415,"27,312.00",Workpackages
Department of Health ,NHS Digital ,1/31/2019,Workpackage,Product Development,KAINOS LTD,INV016634,"394,109.43",Workpackages
Department of Health ,NHS Digital ,2/8/2019,Workpackage,Product Development,KAINOS LTD,INV016678,"28,116.00",Workpackages
Department of Health ,NHS Digital ,3/7/2019,Workpackage,Product Development,KAINOS LTD,INV016990,"181,224.67",Workpackages
Department of Health ,NHS Digital ,3/7/2019,Workpackage,Product Development,KAINOS LTD,INV016991,"203,873.83",Workpackages
Department of Health ,NHS Digital ,3/8/2019,Workpackage,Product Development,KAINOS LTD,INV016992,"32,448.00",Workpackages
Department of Health ,NHS Digital ,3/7/2019,Workpackage,Product Development,KAINOS LTD,INV016996,"873,843.67",Workpackages
Department of Health ,NHS Digital ,3/18/2019,Workpackage,Product Development,KAINOS LTD,INV017099,"876,300.93",Workpackages
Department of Health,NHS Digital ,11/6/2018,Secondees,"Strategy,Policy and Governance",KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,264945,"32,144.66",Secondees
Department of Health,NHS Digital ,8/7/2018,Data Purchases and Services,Platforms and Infrastructure,KLAS ENTERPRISES LLC,15616,"38,478.65",Surveys and Purchase of Data
Department of Health,NHS Digital ,1/26/2018,Course Fees,Various,KNOWLEDGE ACADEMY LTD (THE),253102,"31,952.00",Training Course Fees
